entity_id,name,owner_context,grain,key_relationships,classification,source_of_truth
FIN-005,PaymentApplication,BC-05,Una aplicación de pago,payment;receivable,restricted,BOS treasury
FIN-006,CostRecord,BC-05,Un costo en una etapa,source;trip;asset;allocation,confidential,BOS subledger
FIN-007,ProfitabilitySnapshot,BC-05,Una versión de rentabilidad,object;revenue;costs;policy,confidential,BOS profitability
FIN-008,PurchaseRequisition,BC-05,Una necesidad de compra,requester;budget;items,confidential,BOS procurement
FIN-009,PurchaseOrder,BC-05,Una orden a proveedor,vendor;items;receipts,confidential,BOS procurement
FIN-010,GoodsReceipt,BC-05,Una recepción de compra,PO;items;warehouse,confidential,BOS procurement
FIN-011,SupplierInvoice,BC-05,Una factura de proveedor,vendor;PO;receipt;payment,restricted,BOS payables
FIN-012,BankTransaction,BC-05,Un movimiento bancario,account;payment;reconciliation,restricted,Bank normalized
FIN-013,InventoryItem,BC-04/05,Un artículo inventariable,stock;lots;movements,confidential,BOS inventory
FIN-014,InventoryMovement,BC-04/05,Un movimiento de inventario,item;warehouse;source,confidential,BOS inventory
RSK-001,Case,BC-06,Un caso/incidencia/reclamo,affected_entities;actions;SLA,confidential,BOS case management
RSK-002,Claim,BC-06,Una reclamación económica/seguro,case;shipment;recovery,restricted,BOS claims
RSK-003,RootCause,BC-06,Una causa validada,case;evidence;method,confidential,BOS quality
RSK-004,CorrectiveAction,BC-06,Una acción CAPA,root_cause;owner;effectiveness,confidential,BOS quality
RSK-005,Obligation,BC-06,Una obligación normativa/contractual,jurisdiction;control;evidence,confidential,BOS compliance
RSK-006,Control,BC-06,Un control versionado,obligation;owner;test,confidential,BOS compliance
RSK-007,MetricDefinition,BC-06,Una versión de métrica,formula;owner;sources,internal,Semantic catalog
RSK-008,Intervention,BC-06,Una acción para cambiar un resultado,decision;population;outcome,confidential,BOS decision register
AI-001,AIUseCase,BC-06,Un caso de uso gobernado,owner;model;evaluation,confidential,AI registry
AI-002,ModelVersion,BC-06,Una versión de modelo,pipeline;dataset;metrics,restricted,Model registry
AI-003,Recommendation,BC-06,Una recomendación emitida,use_case;sources;approval;outcome,confidential,BOS AI gateway

