event_type,producer,aggregate,consumers,purpose,classification
EvidenceSubmitted,BC-03,EvidenceSubmission,PS-02;PS-03;Data,Iniciar validación,restricted
EvidenceAccepted,BC-03,EvidenceSubmission,BC-05;Customer portal;Data,Habilitar facturabilidad,restricted
EvidenceRejected,BC-03,EvidenceSubmission,PS-03;PS-04;Data,Solicitar corrección,restricted
TripExceptionRaised,BC-03,Trip,BC-06;Control tower;PS-03;Data,Crear señal accionable,confidential
TripOperationallyClosed,BC-03,Trip,BC-05;Data,Iniciar cierre de costos,confidential
ResourceEligibilityChanged,BC-04,Vehicle/Driver,BC-03;PS-03;Data,Permitir o bloquear asignación,restricted
DriverRestViolationDetected,BC-04,DriverShift,BC-03;BC-06;PS-03;Data,Impedir riesgo de fatiga,restricted
DefectReported,BC-04,Defect,BC-03;PS-03;Data,Evaluar disponibilidad,confidential
AssetBlocked,BC-04,Vehicle,BC-03;PS-03;PS-04;Data,Cancelar elegibilidad,confidential
WorkOrderCreated,BC-04,WorkOrder,BC-05;PS-03;Data,Planificar recursos y costo,confidential
WorkOrderReleased,BC-04,WorkOrder,BC-03;Data,Restaurar elegibilidad,confidential
FuelTransactionReceived,BC-04,FuelTransaction,BC-05;Data,Reconocer costo y conciliar,confidential
FuelAnomalyRaised,BC-04,FuelTransaction,BC-06;PS-03;Data,Investigar desviación,confidential
CarrierTendered,BC-04,CarrierTender,Partner portal;PS-04;Data,Solicitar capacidad externa,confidential
CarrierAccepted,BC-04,CarrierTender,BC-03;BC-05;Data,Confirmar recurso y tarifa,confidential
BillableChargeDetected,BC-05,BillableCharge,PS-03;Data,Preparar facturación,confidential
CostAccrued,BC-05,CostRecord,Data;BC-02,Actualizar margen provisional,confidential
CostFinalized,BC-05,CostRecord,Data;BC-02,Actualizar margen final,confidential
InvoiceIssued,BC-05,Invoice,BC-02;Customer portal;PS-04;Data,Crear cuenta por cobrar,restricted
PaymentReceived,BC-05,Payment,PS-03;Data,Iniciar aplicación,restricted
PaymentApplied,BC-05,PaymentApplication,BC-02;Data,Actualizar saldo y DSO,restricted
ReceivableOverdue,BC-05,Receivable,BC-02;PS-03;PS-04;Data,Activar cobranza y riesgo,restricted
PurchaseOrderIssued,BC-05,PurchaseOrder,Partner portal;PS-04;Data,Formalizar compra,confidential
SupplierInvoiceMatched,BC-05,SupplierInvoice,PS-03;Data,Habilitar pago,restricted
PaymentAuthorized,BC-05,Payment,PS-06;PS-07;Data,Ejecutar pago controlado,restricted
ProfitabilitySnapshotPublished,BC-05,ProfitabilitySnapshot,BC-02;BC-06;Data,Explicar rendimiento,confidential
CaseReported,BC-06,Case,PS-03;PS-04;Data,Iniciar gestión transversal,confidential
CaseContained,BC-06,Case,Related context;Data,Reducir impacto inmediato,confidential
RootCauseValidated,BC-06,RootCause,PS-03;Data,Habilitar CAPA,confidential
CorrectiveActionEffective,BC-06,CorrectiveAction,Related context;Data,Cerrar aprendizaje,confidential
MetricThresholdBreached,BC-06,MetricDefinition,PS-03;Executive cockpit,Crear alerta accionable,confidential
RecommendationGenerated,BC-06,Recommendation,PS-03;Data,Proponer acción gobernada,confidential
InterventionOutcomeMeasured,BC-06,Intervention,Data;AI evaluation,Evaluar aprendizaje y valor,confidential
