metric_id,name,area,metric_type,grain,formula,source,dimensions,owner,decision,guardrail,cadence
FLT-008,Fuel economy,Fleet,outcome,Vehicle-trip,"SUM(reliable_km) / SUM(reconciled_liters)",fact_fuel_transaction;fact_trip,tenant|vehicle|configuration|lane|period,Fleet Manager,Consumo,Segmentar carga y ruta,Weekly
FLT-009,Fuel variance percent,Fleet,guardrail,Vehicle-trip,"(actual_reconciled_liters - expected_liters_model_version) / expected_liters_model_version",fact_fuel_transaction;fact_expected_fuel,tenant|vehicle|driver|lane|period,Fleet Manager,Anomalías,Mostrar modelo esperado y confianza,Daily/Weekly
FLT-010,Tire cost per km,Fleet,outcome,Tire-position,"SUM(tire_consumed_cost) / SUM(km_while_installed)",fact_tire_lifecycle,tenant|brand|model|position|vehicle|period,Fleet Manager,Marca y rotación,Excluir km no confiables,Monthly
FIN-001,Delivery-to-invoice p50,Finance,driver,Invoice,"MEDIAN(issued_at - eligible_delivery_completed_at)",fact_invoice;fact_trip_stop,tenant|customer|legal_entity|period,Billing Manager,Velocidad de factura,Mostrar p90 y causas,Daily/Weekly
FIN-002,Unbilled completed value,Finance,outcome,Billable charge,"SUM(validated_charge_amount where delivery_complete=true AND invoice_id IS NULL)",fact_billable_charge,tenant|customer|age_bucket|charge_type,CFO,Backlog de ingreso,Separar faltante POD y disputa,Daily
FIN-003,DSO,Finance,outcome,Legal entity-period,"average_gross_accounts_receivable / net_credit_sales * days_in_period",fact_receivable;fact_invoice,tenant|legal_entity|customer|period,CFO,Capital de trabajo,Usar periodo y moneda consistentes,Monthly
FIN-004,Collection effectiveness index,Finance,outcome,Period,"(beginning_AR + credit_sales - ending_total_AR) / (beginning_AR + credit_sales - ending_current_AR)",fact_receivable;fact_invoice,tenant|legal_entity|period,Collections Lead,Eficacia cobranza,Documentar current bucket,Monthly
FIN-005,Cash application rate,Finance,driver,Payment,"SUM(applied_payment_amount) / SUM(received_payment_amount)",fact_payment_application;fact_payment,tenant|bank|currency|period,Treasury Lead,Conciliación,Mostrar unapplied aging,Daily
FIN-006,Cost completeness,Finance,quality,Trip,"COUNT(required_cost_category with valid cost or approved zero) / COUNT(required_cost_category)",fact_cost;dim_service_cost_requirement,tenant|trip|service|customer|period,Controller,Confiabilidad margen,No tratar missing como zero,Daily
FIN-007,Margin variance amount,Finance,outcome,Trip,"final_contribution_margin - quoted_contribution_margin",fact_profitability;fact_quote,tenant|customer|lane|vehicle|carrier|period,Controller,Retroalimentar pricing,Mostrar cambios de alcance,Weekly
FIN-008,Margin variance percentage points,Finance,outcome,Trip,"final_margin_percent - quoted_margin_percent",fact_profitability;fact_quote,tenant|customer|lane|period,Controller,Retroalimentar pricing,Nulo si ingreso cero,Weekly
FIN-009,Three-way match first pass,Finance,control,Supplier invoice,"COUNT(invoice matched without exception on first validation) / COUNT(eligible invoice with PO and receipt)",fact_supplier_invoice,tenant|vendor|buyer|period,AP Manager,Control P2P,Separar compras sin PO autorizadas,Weekly
FIN-010,On-time payment,Finance,outcome,Payable,"COUNT(payment executed within policy window) / COUNT(eligible payable due)",fact_payment;fact_supplier_invoice,tenant|vendor|legal_entity|period,Treasury Lead,Proveedores y descuentos,No premiar pago temprano que dañe liquidez,Weekly
FIN-011,Trip profitability coverage,Finance,quality,Completed trip,"COUNT(completed trip with profitability status provisional or final) / COUNT(completed eligible trip)",fact_profitability;fact_trip,tenant|customer|branch|period,Controller,Cobertura económica,Mostrar final coverage separately,Daily
FIN-012,BOS-to-ledger reconciliation,Finance,control,Accounting batch,"SUM(absolute_unreconciled_difference) and COUNT(unmatched_record)",fact_accounting_interface,tenant|legal_entity|period|account,Controller,Cierre financiero,Objetivo de diferencia material cero,Daily/Monthly
SAF-001,Preventable incident rate,Safety,guardrail,Distance,"COUNT(preventable_incident) / SUM(reliable_km) * published_factor",fact_case;fact_trip,tenant|carrier|vehicle_type|lane|period,Safety Lead,Seguridad,Metodología de preventabilidad versionada,Monthly
SAF-002,Driving and rest compliance,Safety,control,Driver shift,"COUNT(eligible_shift compliant_with_active_rule_set) / COUNT(eligible_shift)",fact_driver_shift,tenant|driver|carrier|region|period,Safety Lead,Liberación y planeación,Regla por jurisdicción,Daily/Weekly
SAF-003,Credential compliance,Safety,control,Required credential,"COUNT(required_credential valid at decision_time) / COUNT(required_credential)",fact_credential,tenant|subject_type|credential_type|period,Compliance Lead,Elegibilidad,Evaluar en tiempo de decisión,Daily
SAF-004,Inspection completion,Safety,control,Required inspection,"COUNT(required_inspection completed on time) / COUNT(required_inspection)",fact_inspection,tenant|asset|inspection_type|period,Safety Lead,Liberación,No contar inspección incompleta,Daily
QLT-001,POD first-pass yield,Quality,driver,Evidence submission,"COUNT(evidence accepted without prior rejection) / COUNT(first evidence submission)",fact_evidence,tenant|customer|document_type|operator|period,Quality Lead,Facturabilidad,Contextualizar por regla cliente,Weekly
QLT-002,Claim rate,Quality,guardrail,Delivery,"COUNT(eligible delivery with claim) / COUNT(eligible delivery)",fact_claim;fact_trip_stop,tenant|customer|lane|claim_type|period,Quality Lead,Servicio y riesgo,Mostrar severidad,Monthly
QLT-003,Claim cost percent,Quality,outcome,Period,"SUM(net_claim_cost_after_recovery) / SUM(net_revenue)",fact_claim;fact_invoice_line,tenant|customer|lane|period,CFO/Quality,Condiciones y seguros,Separar abierto y cerrado,Monthly
QLT-004,Case resolution SLA,Quality,outcome,Closed case,"COUNT(eligible closed case with resolved_at<=sla_due_at) / COUNT(eligible closed case)",fact_case,tenant|case_type|severity|owner|period,Quality Lead,Capacidad de respuesta,Mostrar backlog abierto,Weekly
QLT-005,Recurrence rate,Quality,guardrail,Closed case,"COUNT(case linked to same validated root_cause within policy_window) / COUNT(case with validated root_cause)",fact_case;fact_root_cause,tenant|process|root_cause|period,Quality Lead,Eficacia CAPA,Definición de misma causa versionada,Monthly
PEO-001,Training compliance,People,control,Eligible person,"COUNT(person with all required training valid) / COUNT(eligible person)",fact_training;dim_employee,tenant|role|site|period,HR/Safety,Disponibilidad segura,No mezclar cursos opcionales,Weekly
PEO-002,Operator turnover,People,guardrail,Operator population,"COUNT(operator separation in rolling_period) / AVG(active_operator_headcount)",fact_employee_event,tenant|site|reason|period,HR Lead,Retención,Separar voluntaria e involuntaria,Monthly
PRC-001,PO compliance,Procurement,control,Eligible spend,"SUM(spend with approved PO before commitment) / SUM(eligible_spend)",fact_purchase;fact_supplier_invoice,tenant|vendor|category|buyer|period,Procurement Lead,Control de compras,Separar emergencia aprobada,Monthly
PRC-002,Supplier OTIF,Procurement,outcome,PO line,"COUNT(eligible PO line received complete by promised_date) / COUNT(eligible PO line)",fact_goods_receipt;fact_purchase_order,tenant|vendor|category|period,Procurement Lead,Evaluación proveedor,Conservar cambio de promesa,Monthly
PRC-003,Stockout rate,Procurement,guardrail,Inventory request,"COUNT(request not fulfilled due to insufficient stock) / COUNT(eligible inventory request)",fact_inventory_request,tenant|warehouse|item|criticality|period,Inventory Lead,Reposición,Separar demanda no planificada,Weekly
PRC-004,Inventory accuracy,Procurement,quality,Count line,"COUNT(count line within tolerance) / COUNT(count line)",fact_inventory_count,tenant|warehouse|item|period,Inventory Lead,Confianza stock,Tolerancia por categoría,Monthly
PRC-005,Inventory turns,Procurement,outcome,Item-period,"annualized_inventory_consumption_cost / average_inventory_cost",fact_inventory_movement;fact_inventory_snapshot,tenant|warehouse|category|period,Inventory Lead,Capital de trabajo,Separar obsoletos,Monthly
DAT-001,Critical field completeness,Data,quality,Data contract record,"COUNT(required critical field with valid value) / COUNT(expected critical field)",data_quality_results,tenant|data_product|field|source|period,Data Owner,Gate analítico,Missing no equivale zero,Daily
DAT-002,Duplicate master rate,Data,guardrail,Master entity,"COUNT(confirmed duplicate active master) / COUNT(active master)",master_data_quality,tenant|entity_type|source|period,Data Steward,Depuración,Conservar false positive rate,Weekly
DAT-003,Reconciliation coverage,Data,control,Eligible chain,"COUNT(eligible chain fully reconciled) / COUNT(eligible chain)",reconciliation_results,tenant|chain_type|period,Controller/Data,Confianza de negocio,Mostrar diferencia material,Daily
DAT-004,Event freshness p95,Data,quality,Event,"PERCENTILE_95(available_to_consumer_at - occurred_at)",event_observability,tenant|event_type|producer|period,Platform Owner,Oportunidad de datos,Separar eventos tardíos de origen,Hourly/Daily
DAT-005,Manual override rate,Data/AI,guardrail,Reviewed automated decision,"COUNT(automated decision overridden) / COUNT(automated decision reviewed)",fact_recommendation,tenant|use_case|rule_or_model|segment|period,AI/Process Owner,Calibrar automatización,Investigar aceptación complaciente,Weekly
DAT-006,Decision evaluation rate,Data,learning,Mature decision,"COUNT(material decision with outcome evaluated) / COUNT(material decision whose evaluation_window ended)",fact_decision;fact_intervention_outcome,tenant|decision_type|owner|period,CEO/PMO,Aprendizaje,No contar outcome sin método,Monthly
DAT-007,Metric certification coverage,Data,control,Official dashboard metric,"COUNT(displayed metric with certified active definition) / COUNT(displayed official metric)",semantic_catalog;dashboard_inventory,tenant|dashboard|period,Chief Data Owner,Gobierno BI,Exploratorios deben etiquetarse,Weekly
SAS-001,Tenant activation,SaaS,outcome,Tenant,"COUNT(tenant completing configured_activation_milestone) / COUNT(tenant onboarding started)",fact_tenant_journey,plan|segment|region|cohort,Customer Success,Onboarding,Milestone por segmento versionado,Weekly
SAS-002,Core workflow adoption,SaaS,driver,Eligible user-period,"COUNT(eligible user completing core_action) / COUNT(eligible active user)",fact_saas_usage,tenant|role|plan|cohort,Product,Valor realizado,No confundir login con uso,Weekly
SAS-003,Platform availability,SaaS,guardrail,Service-minute,"SUM(available_service_minutes) / SUM(scheduled_service_minutes)",service_slo,service|region|tenant_tier|period,SRE,SLO y error budget,Excluir solo mantenimiento anunciado por política,Monthly
SAS-004,Error-free task completion,SaaS,quality,Core task attempt,"COUNT(core task completed without system_error or rework) / COUNT(core task attempt)",product_events;support_cases,tenant|role|task|client_version|period,Product/Engineering,UX y calidad,Definir rework por tarea,Weekly
SAS-005,Gross revenue retention,SaaS,outcome,Tenant cohort-period,"(starting_recurring_revenue - contraction - churn) / starting_recurring_revenue",fact_subscription_revenue,plan|segment|region|cohort,CRO,Retención,Excluir expansión,Monthly
SAS-006,Net revenue retention,SaaS,outcome,Tenant cohort-period,"(starting_recurring_revenue + expansion - contraction - churn) / starting_recurring_revenue",fact_subscription_revenue,plan|segment|region|cohort,CRO,Crecimiento,Mostrar logo retention,Monthly
